id,reasoning,article_text,sphere,source,date,answer
19,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/19,2024-01-20,5
20,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/20,2024-01-21,1
21,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/21,2024-01-22,2
22,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/22,2024-01-23,3
23,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/23,2024-01-24,4
24,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/24,2024-01-25,5
25,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/25,2024-01-26,1
26,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/26,2024-01-27,2
27,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/27,2024-01-28,3
28,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/28,2024-01-29,4
29,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/29,2024-01-30,5
30,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/30,2024-01-31,1
31,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/31,2024-02-01,2
32,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/32,2024-02-02,3
33,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/33,2024-02-03,4
34,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/34,2024-02-04,5
35,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/35,2024-02-05,1
36,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/36,2024-02-06,2
37,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/37,2024-02-07,3
38,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/38,2024-02-08,4
39,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/39,2024-02-09,5
40,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/40,2024-02-10,1
41,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/41,2024-02-11,2
42,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/42,2024-02-12,3
43,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/43,2024-02-13,4
44,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/44,2024-02-14,5
45,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/45,2024-02-15,1
46,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/46,2024-02-16,2
47,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/47,2024-02-17,3
48,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/48,2024-02-18,4
49,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/49,2024-02-19,5
50,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/50,2024-02-20,1
51,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/51,2024-02-21,2
52,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/52,2024-02-22,3
53,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/53,2024-02-23,4
54,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/54,2024-02-24,5
55,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/55,2024-02-25,1
56,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/56,2024-02-26,2
57,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/57,2024-02-27,3
58,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/58,2024-02-28,4
59,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/59,2024-02-29,5
60,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/60,2024-03-01,1
61,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/61,2024-03-02,2
62,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/62,2024-03-03,3
63,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/63,2024-03-04,4
64,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/64,2024-03-05,5
65,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/65,2024-03-06,1
66,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/66,2024-03-07,2
67,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/67,2024-03-08,3
68,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/68,2024-03-09,4
69,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/69,2024-03-10,5
70,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/70,2024-03-11,1
71,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/71,2024-03-12,2
72,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/72,2024-03-13,3
73,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/73,2024-03-14,4
74,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/74,2024-03-15,5
75,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/75,2024-03-16,1
76,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/76,2024-03-17,2
77,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/77,2024-03-18,3
78,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/78,2024-03-19,4
79,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/79,2024-03-20,5
80,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/80,2024-03-21,1
81,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/81,2024-03-22,2
82,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/82,2024-03-23,3
83,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/83,2024-03-24,4
84,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/84,2024-03-25,5
85,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/85,2024-03-26,1
86,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/86,2024-03-27,2
87,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/87,2024-03-28,3
88,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/88,2024-03-29,4
89,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/89,2024-03-30,5
90,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/90,2024-03-31,1
91,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/91,2024-04-01,2
92,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/92,2024-04-02,3
93,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/93,2024-04-03,4
94,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/94,2024-04-04,5
95,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/95,2024-04-05,1
96,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/96,2024-04-06,2
97,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/97,2024-04-07,3
98,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/98,2024-04-08,4
99,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/99,2024-04-09,5
100,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/100,2024-04-10,1
101,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/101,2024-04-11,2
102,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/102,2024-04-12,3
103,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/103,2024-04-13,4
104,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/104,2024-04-14,5
105,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/105,2024-04-15,1
106,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/106,2024-04-16,2
107,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/107,2024-04-17,3
108,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/108,2024-04-18,4
109,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/109,2024-04-19,5
110,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/110,2024-04-20,1
111,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/111,2024-04-21,2
112,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/112,2024-04-22,3
113,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/113,2024-04-23,4
114,Анализ влияния новости на сектор банковских услуг (Сбербанк).,Сбербанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Сбербанк,https://example.com/news/114,2024-04-24,5
115,Анализ влияния новости на сектор банковских услуг (Промсвязьбанк).,Промсвязьбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Промсвязьбанк,https://example.com/news/115,2024-04-25,1
116,Анализ влияния новости на сектор банковских услуг (ВТБ).,ВТБ объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,ВТБ,https://example.com/news/116,2024-04-26,2
117,Анализ влияния новости на сектор банковских услуг (Альфа-Банк).,Альфа-Банк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Альфа-Банк,https://example.com/news/117,2024-04-27,3
118,Анализ влияния новости на сектор банковских услуг (Газпромбанк).,Газпромбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Газпромбанк,https://example.com/news/118,2024-04-28,4
119,Анализ влияния новости на сектор банковских услуг (Россельхозбанк).,Россельхозбанк объявил(а) о новой инициативе. Это может повлиять на ликвидность и клиентскую базу.,Россельхозбанк,https://example.com/news/119,2024-04-29,5
